host_response_rate,review_scores_rating,id
86%,97.0,958.0
100%,95.0,3850.0
60%,98.0,5858.0
83%,86.0,7918.0
83%,93.0,8142.0
100%,97.0,8339.0
100%,98.0,8739.0
100%,94.0,9225.0
100%,96.0,10251.0
100%,89.0,10820.0
100%,91.0,10824.0
100%,92.0,10832.0
83%,80.0,12041.0
83%,64.0,12042.0
100%,98.0,12522.0
100%,95.0,12584.0
100%,98.0,14125.0
100%,96.0,17132.0
0%,96.0,18231.0
91%,97.0,18904.0
100%,98.0,21334.0
83%,78.0,21914.0
100%,98.0,23611.0
100%,98.0,23630.0
100%,98.0,24463.0
100%,96.0,24723.0
100%,99.0,25094.0
91%,98.0,25463.0
100%,95.0,25662.0
100%,91.0,26408.0
100%,96.0,27028.0
100%,97.0,29373.0
100%,99.0,29557.0
100%,99.0,33578.0
100%,95.0,39174.0
100%,92.0,40092.0
100%,96.0,40138.0
100%,94.0,41055.0
100%,98.0,41172.0
100%,96.0,41399.0
100%,89.0,41423.0
100%,93.0,42403.0
100%,87.0,42408.0
100%,80.0,42577.0
100%,56.0,43778.0
100%,97.0,44032.0
100%,94.0,45299.0
100%,97.0,47486.0
100%,96.0,47682.0
100%,98.0,51557.0
100%,92.0,51773.0
100%,98.0,53280.0
100%,95.0,53934.0
100%,88.0,54518.0
100%,94.0,54634.0
100%,94.0,55632.0
100%,95.0,55636.0
100%,93.0,56621.0
100%,96.0,56715.0
67%,92.0,57561.0
89%,94.0,57676.0
0%,90.0,58185.0
100%,98.0,59344.0
100%,96.0,59381.0
100%,97.0,60365.0
100%,97.0,62519.0
100%,96.0,62651.0
100%,94.0,63247.0
100%,99.0,64165.0
100%,96.0,66188.0
100%,79.0,66664.0
100%,99.0,68239.0
100%,98.0,69410.0
74%,91.0,69549.0
74%,82.0,69553.0
100%,93.0,69681.0
100%,98.0,70139.0
96%,93.0,70284.0
96%,92.0,70753.0
100%,98.0,71645.0
100%,60.0,71779.0
83%,92.0,72365.0
96%,94.0,72444.0
83%,89.0,72921.0
83%,96.0,74451.0
74%,84.0,74758.0
74%,100.0,75422.0
74%,88.0,75423.0
100%,98.0,77175.0
74%,82.0,77932.0
89%,95.0,78651.0
100%,98.0,80394.0
100%,94.0,81158.0
74%,78.0,81256.0
100%,97.0,83257.0
100%,97.0,83553.0
100%,95.0,84777.0
100%,99.0,87640.0
100%,94.0,96383.0
100%,100.0,100710.0
96%,97.0,102951.0
100%,80.0,105497.0
100%,99.0,106025.0
100%,94.0,109883.0
100%,94.0,110825.0
100%,97.0,114401.0
100%,98.0,115242.0
93%,97.0,126046.0
100%,99.0,128230.0
83%,87.0,130775.0
100%,98.0,130805.0
100%,96.0,132441.0
100%,97.0,134015.0
100%,98.0,137546.0
100%,96.0,137672.0
100%,98.0,138592.0
100%,93.0,138619.0
100%,99.0,138772.0
100%,97.0,140568.0
100%,98.0,142177.0
100%,94.0,144978.0
100%,92.0,147443.0
100%,85.0,148627.0
100%,89.0,148769.0
100%,94.0,150347.0
100%,99.0,150848.0
90%,95.0,162934.0
100%,97.0,164207.0
100%,96.0,166199.0
100%,97.0,166771.0
100%,87.0,175090.0
100%,94.0,175102.0
74%,83.0,176274.0
90%,97.0,177137.0
100%,93.0,180233.0
100%,97.0,183859.0
89%,96.0,187730.0
100%,98.0,189068.0
100%,98.0,189894.0
100%,97.0,191632.0
89%,99.0,199480.0
96%,100.0,206566.0
96%,97.0,206634.0
96%,80.0,206637.0
100%,96.0,207980.0
100%,96.0,208727.0
100%,96.0,208831.0
100%,93.0,209514.0
100%,100.0,212265.0
100%,91.0,212783.0
100%,89.0,213532.0
100%,99.0,216042.0
100%,97.0,216064.0
83%,93.0,217106.0
100%,89.0,220418.0
100%,95.0,221342.0
100%,98.0,224579.0
96%,93.0,229240.0
100%,97.0,229319.0
100%,88.0,231129.0
100%,99.0,231752.0
100%,96.0,238190.0
100%,95.0,238204.0
96%,93.0,241235.0
100%,97.0,242008.0
90%,97.0,244361.0
96%,90.0,245339.0
100%,98.0,252867.0
100%,98.0,256148.0
100%,97.0,256176.0
100%,88.0,258873.0
96%,92.0,259621.0
96%,94.0,259622.0
100%,90.0,259919.0
96%,80.0,261358.0
100%,95.0,269371.0
100%,95.0,269463.0
100%,98.0,271602.0
0%,91.0,271647.0
100%,98.0,273530.0
100%,95.0,274334.0
100%,97.0,276072.0
92%,97.0,277339.0
100%,94.0,280549.0
100%,88.0,280673.0
100%,95.0,284117.0
100%,100.0,284766.0
90%,100.0,285499.0
100%,96.0,286311.0
100%,98.0,287907.0
100%,98.0,288213.0
74%,82.0,292723.0
100%,98.0,295240.0
74%,96.0,295565.0
100%,96.0,297897.0
100%,97.0,307837.0
100%,97.0,314248.0
100%,99.0,314368.0
83%,94.0,317121.0
100%,97.0,323635.0
100%,97.0,325478.0
100%,94.0,326650.0
93%,94.0,330535.0
100%,99.0,330736.0
100%,98.0,334339.0
100%,98.0,334886.0
100%,100.0,338849.0
100%,98.0,344621.0
100%,93.0,345760.0
100%,93.0,348580.0
100%,96.0,348714.0
100%,99.0,350391.0
100%,96.0,350479.0
100%,97.0,351881.0
74%,69.0,351950.0
74%,83.0,351978.0
100%,90.0,352165.0
100%,100.0,353292.0
100%,96.0,361230.0
100%,97.0,364397.0
100%,95.0,374997.0
100%,90.0,377569.0
100%,93.0,379349.0
100%,96.0,379418.0
100%,97.0,381217.0
