minimum_nights,review_scores_rating,id
1,97.0,958
1,95.0,3850
30,98.0,5858
32,86.0,7918
32,93.0,8142
5,97.0,8339
1,98.0,8739
1,94.0,9225
30,96.0,10251
30,99.0,10578
30,89.0,10820
30,91.0,10824
30,92.0,10832
32,80.0,12041
32,64.0,12042
3,98.0,12522
30,95.0,12584
3,98.0,14125
30,96.0,17132
30,96.0,18231
2,97.0,18904
30,98.0,21334
32,78.0,21914
3,98.0,23611
3,98.0,23630
2,98.0,24463
1,96.0,24685
5,96.0,24723
5,99.0,25094
3,98.0,25463
4,95.0,25662
3,91.0,26408
30,100.0,27025
1,96.0,27028
4,97.0,29373
2,99.0,29557
30,96.0,32414
1,99.0,33578
30,95.0,39174
60,98.0,39418
30,92.0,40092
30,96.0,40138
4,94.0,41055
3,98.0,41172
30,96.0,41399
30,89.0,41423
30,93.0,42403
30,87.0,42408
10,91.0,42454
30,80.0,42577
30,56.0,43778
30,97.0,44032
30,100.0,44680
3,94.0,45299
30,97.0,47486
30,96.0,47682
365,100.0,51374
30,98.0,51557
30,92.0,51773
3,98.0,53280
40,95.0,53934
30,88.0,54518
30,94.0,54634
30,94.0,55632
30,95.0,55636
30,93.0,56621
3,96.0,56715
90,99.0,57479
30,92.0,57561
30,94.0,57676
2,90.0,58185
2,98.0,59344
2,96.0,59381
30,98.0,59702
60,20.0,59831
4,97.0,60365
2,97.0,62519
3,96.0,62651
2,94.0,63247
30,99.0,64165
30,84.0,66119
30,96.0,66188
30,79.0,66664
30,99.0,68239
30,98.0,69410
30,91.0,69549
30,82.0,69553
30,93.0,69681
30,98.0,70139
30,93.0,70284
1,92.0,70753
3,98.0,71645
30,60.0,71779
30,92.0,72365
1,94.0,72444
30,89.0,72921
30,96.0,74451
30,84.0,74758
30,100.0,75422
30,88.0,75423
3,98.0,77175
30,82.0,77932
30,95.0,78651
30,98.0,80394
30,94.0,81158
30,78.0,81256
30,97.0,81535
1,97.0,83257
30,97.0,83553
5,95.0,84777
2,99.0,87640
30,95.0,91957
30,94.0,96383
4,96.0,99094
4,100.0,100710
30,97.0,102951
45,80.0,105497
30,99.0,106025
2,94.0,109883
30,94.0,110825
1,97.0,114401
30,98.0,115242
30,99.0,121065
30,97.0,126046
3,99.0,128230
32,87.0,130775
30,98.0,130805
1,96.0,132441
3,97.0,134015
4,94.0,134193
2,98.0,137546
30,96.0,137672
5,98.0,138592
30,93.0,138619
5,99.0,138772
2,97.0,140568
4,98.0,142177
30,94.0,144978
30,92.0,147443
5,99.0,148559
60,85.0,148627
30,89.0,148769
30,94.0,150347
3,99.0,150848
30,95.0,162934
5,97.0,164207
30,96.0,166199
30,97.0,166771
30,87.0,175090
30,94.0,175102
30,83.0,176274
30,97.0,177137
30,93.0,180233
3,97.0,183859
29,96.0,187730
2,98.0,189068
5,98.0,189894
2,97.0,191632
5,99.0,199480
30,100.0,201313
30,97.0,201579
30,100.0,206566
30,97.0,206634
30,80.0,206637
2,96.0,207980
30,96.0,208727
3,96.0,208831
1,93.0,209514
5,100.0,212265
1,91.0,212783
1,89.0,213532
30,96.0,213854
5,99.0,216042
2,97.0,216064
30,93.0,217106
1,89.0,220418
2,95.0,221342
2,98.0,224579
3,96.0,225933
1,93.0,229240
30,97.0,229319
2,88.0,231129
30,99.0,231752
30,98.0,232060
2,96.0,238190
3,95.0,238204
1,93.0,241235
3,97.0,242008
30,97.0,244361
30,90.0,245339
6,98.0,252867
1,98.0,256148
2,97.0,256176
2,88.0,258873
1,92.0,259621
1,94.0,259622
30,90.0,259919
30,80.0,261358
2,95.0,269371
2,95.0,269463
30,98.0,271602
30,91.0,271647
4,98.0,273530
3,95.0,274334
2,97.0,276072
3,97.0,277339
3,97.0,279184
1,94.0,280549
30,88.0,280673
30,95.0,284117
3,100.0,284766
30,100.0,285499
4,96.0,286311
3,98.0,287907
2,98.0,288213
30,82.0,292723
2,98.0,295240
30,96.0,295565
3,96.0,297897
7,97.0,307837
30,89.0,308885
7,97.0,314248
1,99.0,314368
30,94.0,317121
2,97.0,323635
3,97.0,325478
30,94.0,326650
30,100.0,329020
30,94.0,330535
3,99.0,330736
3,98.0,334339
60,98.0,334886
30,100.0,338849
4,100.0,342420
1,98.0,344621
1,93.0,345760
3,93.0,348580
3,96.0,348714
2,99.0,350391
30,96.0,350479
2,97.0,351881
30,69.0,351950
30,83.0,351978
2,90.0,352165
4,100.0,353292
30,96.0,361230
2,97.0,364397
3,95.0,374997
3,90.0,377569
5,98.0,379255
3,93.0,379349
4,96.0,379418
3,97.0,381217
4,97.0,392543
6,96.0,394575
2,100.0,400433
2,96.0,408471
3,98.0,409549
30,100.0,413663
30,96.0,415498
4,97.0,420160
3,96.0,423063
30,95.0,423300
2,99.0,424846
31,97.0,430692
3,89.0,431632
30,95.0,431862
30,96.0,435389
30,100.0,435390
30,94.0,435391
2,99.0,437385
2,95.0,438940
1,97.0,438967
1,90.0,439703
30,98.0,442349
4,99.0,442397
30,100.0,444675
30,87.0,450992
30,89.0,455783
1,97.0,456568
3,93.0,457862
6,100.0,457986
30,100.0,459990
2,97.0,465723
3,99.0,467507
1,92.0,468490
3,94.0,468751
1,98.0,470686
31,98.0,472901
30,100.0,474001
2,97.0,474107
1,94.0,479072
3,95.0,479415
2,96.0,482592
2,94.0,485286
4,89.0,487019
30,96.0,487499
3,98.0,488297
