minimum_nights,review_scores_rating,id,neighbourhood_cleansed
1,97.0,958,Western Addition
1,95.0,3850,Inner Sunset
30,98.0,5858,Bernal Heights
32,86.0,7918,Haight Ashbury
32,93.0,8142,Haight Ashbury
5,97.0,8339,Western Addition
1,98.0,8739,Mission
1,94.0,9225,Potrero Hill
30,96.0,10251,Mission
30,99.0,10578,Nob Hill
30,89.0,10820,Haight Ashbury
30,91.0,10824,Western Addition
30,92.0,10832,Downtown/Civic Center
32,80.0,12041,Haight Ashbury
32,64.0,12042,Haight Ashbury
3,98.0,12522,Castro/Upper Market
30,95.0,12584,Inner Sunset
3,98.0,14125,Mission
30,96.0,17132,South of Market
30,96.0,18231,Noe Valley
2,97.0,18904,Western Addition
30,98.0,21334,Nob Hill
32,78.0,21914,Haight Ashbury
3,98.0,23611,Bernal Heights
3,98.0,23630,Castro/Upper Market
2,98.0,24463,Potrero Hill
1,96.0,24685,Haight Ashbury
5,96.0,24723,Western Addition
5,99.0,25094,Noe Valley
3,98.0,25463,Western Addition
4,95.0,25662,Potrero Hill
3,91.0,26408,Western Addition
30,100.0,27025,Castro/Upper Market
1,96.0,27028,Mission
4,97.0,29373,Bernal Heights
2,99.0,29557,Outer Richmond
30,96.0,32414,Bernal Heights
1,99.0,33578,Potrero Hill
30,95.0,39174,Noe Valley
60,98.0,39418,Bernal Heights
30,92.0,40092,Mission
30,96.0,40138,Presidio Heights
4,94.0,41055,Castro/Upper Market
3,98.0,41172,Bernal Heights
30,96.0,41399,Mission
30,89.0,41423,Glen Park
30,93.0,42403,Bernal Heights
30,87.0,42408,Bernal Heights
10,91.0,42454,Mission
30,80.0,42577,Potrero Hill
30,56.0,43778,Haight Ashbury
30,97.0,44032,Mission
30,100.0,44680,Mission
3,94.0,45299,Castro/Upper Market
30,97.0,47486,Ocean View
30,96.0,47682,Pacific Heights
30,98.0,51557,Western Addition
30,92.0,51773,Pacific Heights
3,98.0,53280,Bernal Heights
40,95.0,53934,Downtown/Civic Center
30,88.0,54518,Financial District
30,94.0,54634,Pacific Heights
