reviews_per_month,review_scores_rating,id
1.79,97.0,958
1.38,95.0,3850
0.86,98.0,5858
0.14,86.0,7918
0.13,93.0,8142
0.23,97.0,8339
5.66,98.0,8739
4.25,94.0,9225
2.71,96.0,10251
0.19,99.0,10578
0.3,89.0,10820
0.16,91.0,10824
0.24,92.0,10832
0.06,80.0,12041
0.06,64.0,12042
3.48,98.0,12522
0.2,95.0,12584
0.98,98.0,14125
0.13,96.0,17132
0.54,96.0,18231
4.16,97.0,18904
1.02,98.0,21334
0.14,78.0,21914
2.15,98.0,23611
3.45,98.0,23630
2.57,98.0,24463
1.76,96.0,24685
2.72,96.0,24723
0.95,99.0,25094
3.92,98.0,25463
2.74,95.0,25662
0.33,91.0,26408
1.13,100.0,27025
0.52,96.0,27028
0.16,97.0,29373
0.55,99.0,29557
0.82,96.0,32414
5.19,99.0,33578
0.21,95.0,39174
0.22,98.0,39418
0.86,92.0,40092
1.26,96.0,40138
0.49,94.0,41055
2.32,98.0,41172
0.93,96.0,41399
1.31,89.0,41423
0.06,93.0,42403
0.04,87.0,42408
0.11,91.0,42454
0.03,80.0,42577
0.07,56.0,43778
2.5,97.0,44032
0.03,100.0,44680
1.26,94.0,45299
0.28,97.0,47486
0.24,96.0,47682
0.07,100.0,51374
0.96,98.0,51557
1.56,92.0,51773
1.29,98.0,53280
2.09,95.0,53934
0.19,88.0,54518
0.36,94.0,54634
0.09,94.0,55632
0.24,95.0,55636
1.11,93.0,56621
0.8,96.0,56715
1.38,99.0,57479
1.96,92.0,57561
1.16,94.0,57676
0.3,90.0,58185
3.14,98.0,59344
2.35,96.0,59381
1.86,98.0,59702
0.01,20.0,59831
1.88,97.0,60365
0.63,97.0,62519
0.54,96.0,62651
3.42,94.0,63247
0.66,99.0,64165
0.96,84.0,66119
0.13,96.0,66188
0.41,79.0,66664
0.36,99.0,68239
0.5,98.0,69410
0.37,91.0,69549
0.26,82.0,69553
0.07,93.0,69681
0.11,98.0,70139
0.14,93.0,70284
3.67,92.0,70753
3.19,98.0,71645
0.02,60.0,71779
0.92,92.0,72365
3.78,94.0,72444
0.49,89.0,72921
0.2,96.0,74451
0.33,84.0,74758
0.09,100.0,75422
0.33,88.0,75423
3.63,98.0,77175
0.24,82.0,77932
0.89,95.0,78651
0.33,98.0,80394
0.16,94.0,81158
0.2,78.0,81256
0.17,97.0,81535
0.94,97.0,83257
0.08,97.0,83553
2.49,95.0,84777
3.41,99.0,87640
0.95,95.0,91957
1.29,94.0,96383
21.21,96.0,99094
0.11,100.0,100710
0.07,97.0,102951
0.15,80.0,105497
0.58,99.0,106025
3.53,94.0,109883
0.09,94.0,110825
5.57,97.0,114401
0.1,98.0,115242
0.39,99.0,121065
0.82,97.0,126046
1.48,99.0,128230
0.12,87.0,130775
0.83,98.0,130805
1.27,96.0,132441
0.7,97.0,134015
0.17,94.0,134193
2.54,98.0,137546
0.14,96.0,137672
0.27,98.0,138592
0.65,93.0,138619
0.63,99.0,138772
1.48,97.0,140568
1.95,98.0,142177
1.16,94.0,144978
1.05,92.0,147443
0.19,99.0,148559
1.12,85.0,148627
2.4,89.0,148769
1.17,94.0,150347
2.27,99.0,150848
2.36,95.0,162934
3.54,97.0,164207
1.58,96.0,166199
1.55,97.0,166771
0.24,87.0,175090
0.5,94.0,175102
0.11,83.0,176274
0.62,97.0,177137
0.2,93.0,180233
2.63,97.0,183859
1.29,96.0,187730
1.7,98.0,189068
0.48,98.0,189894
4.78,97.0,191632
1.98,99.0,199480
0.11,100.0,201313
2.12,97.0,201579
0.12,100.0,206566
0.06,97.0,206634
0.04,80.0,206637
3.85,96.0,207980
0.31,96.0,208727
4.73,96.0,208831
4.75,93.0,209514
0.86,100.0,212265
4.44,91.0,212783
4.87,89.0,213532
0.39,96.0,213854
0.49,99.0,216042
2.58,97.0,216064
0.45,93.0,217106
4.31,89.0,220418
2.05,95.0,221342
1.1,98.0,224579
1.96,96.0,225933
3.63,93.0,229240
0.19,97.0,229319
0.67,88.0,231129
0.8,99.0,231752
1.18,98.0,232060
2.2,96.0,238190
2.09,95.0,238204
3.26,93.0,241235
0.79,97.0,242008
0.73,97.0,244361
0.11,90.0,245339
0.24,98.0,252867
6.08,98.0,256148
3.21,97.0,256176
4.29,88.0,258873
2.44,92.0,259621
2.29,94.0,259622
0.13,90.0,259919
0.01,80.0,261358
1.94,95.0,269371
1.25,95.0,269463
1.05,98.0,271602
1.53,91.0,271647
0.45,98.0,273530
0.84,95.0,274334
0.62,97.0,276072
3.76,97.0,277339
