cleaning_fee,review_scores_cleanliness,id
$100.00,10.0,958
$10.00,10.0,3850
$100.00,10.0,5858
$50.00,8.0,7918
$50.00,9.0,8142
$175.00,10.0,8339
$50.00,10.0,8739
$50.00,9.0,9225
$100.00,10.0,10251
$75.00,10.0,10578
$208.00,9.0,10820
$208.00,10.0,10824
$156.00,9.0,10832
$50.00,8.0,12041
$50.00,6.0,12042
$10.00,10.0,12522
$279.00,10.0,12584
$80.00,9.0,14125
$250.00,10.0,17132
$30.00,10.0,18904
$100.00,10.0,21334
$50.00,8.0,21914
$30.00,10.0,23611
$60.00,10.0,23630
$80.00,10.0,24463
$0.00,10.0,24723
$25.00,10.0,25094
$30.00,10.0,25463
$50.00,9.0,25662
$160.00,8.0,26408
$125.00,10.0,27025
$75.00,10.0,27028
$150.00,10.0,29373
$0.00,10.0,32414
$110.00,10.0,33578
$155.00,10.0,39174
$65.00,10.0,39418
$50.00,10.0,40092
$35.00,9.0,40138
$120.00,9.0,41055
$50.00,10.0,41172
$120.00,10.0,41399
$155.00,10.0,42403
$155.00,8.0,42408
$0.00,9.0,42454
$205.00,8.0,42577
$244.00,7.0,43778
$75.00,10.0,44032
$75.00,9.0,45299
$150.00,10.0,47486
$160.00,9.0,47682
$80.00,10.0,51374
$175.00,10.0,51557
$50.00,9.0,51773
$60.00,10.0,53280
$0.00,10.0,53934
$120.00,9.0,54518
$160.00,9.0,54634
$200.00,10.0,55632
$200.00,10.0,55636
$70.00,9.0,56621
$0.00,10.0,56715
$100.00,10.0,57479
$100.00,9.0,57676
$125.00,8.0,58185
$75.00,10.0,59344
$40.00,10.0,59381
$120.00,10.0,59702
$185.00,10.0,60365
$45.00,10.0,62519
$250.00,10.0,62651
$65.00,9.0,63247
$75.00,10.0,64165
$75.00,9.0,66119
$205.00,10.0,66188
$140.00,8.0,66664
$180.00,10.0,68239
$100.00,10.0,69410
$50.00,9.0,69549
$35.00,8.0,69553
$255.00,8.0,69681
$0.00,9.0,70753
$60.00,10.0,71645
$100.00,8.0,71779
$100.00,8.0,72365
$0.00,9.0,72444
$0.00,9.0,72921
$100.00,9.0,74451
$35.00,8.0,74758
$35.00,9.0,75422
$40.00,8.0,75423
$50.00,10.0,77175
$50.00,8.0,77932
$100.00,9.0,78651
$100.00,10.0,80394
$150.00,9.0,81158
$35.00,7.0,81256
$75.00,10.0,81535
$55.00,10.0,83257
$155.00,10.0,83553
$60.00,10.0,84777
$30.00,10.0,87640
$150.00,9.0,91957
$70.00,9.0,96383
$100.00,10.0,99094
$85.00,8.0,105497
$150.00,10.0,106025
$50.00,9.0,109883
$150.00,9.0,110825
$0.00,9.0,114401
$135.00,10.0,115242
$150.00,10.0,121065
$125.00,10.0,126046
$120.00,10.0,128230
$50.00,7.0,130775
$100.00,10.0,130805
$45.00,10.0,132441
$130.00,9.0,134015
$200.00,9.0,134193
$70.00,10.0,137546
$35.00,10.0,137672
$250.00,10.0,138592
$100.00,9.0,138619
$50.00,10.0,138772
$35.00,10.0,140568
$150.00,10.0,142177
$70.00,9.0,144978
$195.00,9.0,147443
$150.00,9.0,148559
$75.00,9.0,148627
$75.00,8.0,148769
$100.00,9.0,150347
$30.00,10.0,150848
$110.00,10.0,162934
$35.00,10.0,164207
$80.00,10.0,166199
$250.00,10.0,166771
$155.00,9.0,175090
$155.00,10.0,175102
$30.00,7.0,176274
$75.00,10.0,177137
$150.00,9.0,180233
$90.00,10.0,183859
$85.00,9.0,187730
$35.00,10.0,189068
$90.00,10.0,189894
$43.00,10.0,191632
$20.00,10.0,199480
$225.00,10.0,201313
$99.00,10.0,201579
$132.00,9.0,207980
$99.00,9.0,208727
$60.00,10.0,208831
$30.00,10.0,209514
$250.00,10.0,212265
$30.00,9.0,212783
$30.00,9.0,213532
$200.00,10.0,213854
$85.00,10.0,216042
$100.00,8.0,217106
$30.00,9.0,220418
$50.00,10.0,221342
$105.00,10.0,224579
$35.00,10.0,225933
$0.00,9.0,229240
$125.00,10.0,229319
$300.00,10.0,231129
$250.00,10.0,231752
$75.00,10.0,232060
$40.00,10.0,238190
$85.00,10.0,238204
$0.00,9.0,241235
$65.00,10.0,242008
$75.00,10.0,244361
$125.00,9.0,245339
$100.00,9.0,252867
$35.00,10.0,256148
$40.00,10.0,256176
$0.00,9.0,259621
$0.00,9.0,259622
$99.00,9.0,259919
$100.00,10.0,261358
$50.00,9.0,269371
$50.00,9.0,269463
$0.00,10.0,271602
$20.00,9.0,271647
$150.00,10.0,273530
$19.00,9.0,276072
$75.00,10.0,277339
$200.00,9.0,279184
$0.00,10.0,280549
$45.00,8.0,280673
$100.00,10.0,284117
$100.00,10.0,284766
$250.00,10.0,285499
$300.00,10.0,286311
$180.00,9.0,287907
$70.00,10.0,288213
$35.00,8.0,292723
$85.00,10.0,295240
$30.00,9.0,295565
$80.00,10.0,297897
$50.00,10.0,307837
$75.00,9.0,308885
$75.00,10.0,314368
$100.00,9.0,317121
$35.00,9.0,323635
$120.00,9.0,325478
$99.00,9.0,326650
$150.00,10.0,329020
$125.00,9.0,330535
$175.00,10.0,330736
$50.00,10.0,334339
$170.00,10.0,334886
$69.00,10.0,338849
$225.00,10.0,342420
$50.00,10.0,344621
$75.00,9.0,345760
$70.00,8.0,348580
$90.00,10.0,348714
$50.00,10.0,350391
$60.00,9.0,350479
$40.00,9.0,351881
$35.00,7.0,351950
$35.00,8.0,351978
$80.00,10.0,352165
$60.00,9.0,353292
$110.00,10.0,361230
$75.00,10.0,364397
$75.00,9.0,374997
$35.00,9.0,377569
$200.00,10.0,379255
$50.00,9.0,379349
$190.00,9.0,379418
$70.00,10.0,381217
$80.00,10.0,392543
$150.00,10.0,400433
$150.00,9.0,408471
$80.00,10.0,409549
$160.00,9.0,415498
$60.00,10.0,420160
$105.00,9.0,423063
$100.00,10.0,423300
$40.00,10.0,424846
$50.00,9.0,430692
$70.00,9.0,431632
$100.00,10.0,431862
$68.00,10.0,437385
$75.00,9.0,438940
$75.00,9.0,438967
$299.00,9.0,439703
$80.00,10.0,442349
$100.00,10.0,442397
$350.00,10.0,444675
$100.00,8.0,450992
$30.00,10.0,456568
$150.00,9.0,457862
$185.00,9.0,457986
$200.00,10.0,459990
$40.00,10.0,465723
$60.00,10.0,467507
$200.00,10.0,468490
$100.00,9.0,468751
$35.00,10.0,470686
$200.00,10.0,472901
$60.00,10.0,474107
$50.00,10.0,479072
$120.00,9.0,479415
$200.00,10.0,482592
$80.00,9.0,485286
$110.00,9.0,487019
$150.00,9.0,487499
$200.00,10.0,488297
$100.00,10.0,491867
$75.00,9.0,493889
$75.00,9.0,494111
$65.00,9.0,496226
$50.00,10.0,499096
$150.00,10.0,501057
$250.00,10.0,501770
$325.00,10.0,503362
$125.00,10.0,504146
$150.00,8.0,505530
$75.00,8.0,515260
$50.00,10.0,515430
$120.00,10.0,515524
$25.00,10.0,516836
$95.00,10.0,517803
$120.00,10.0,519796
$150.00,10.0,522089
$180.00,10.0,522273
$75.00,10.0,527226
$25.00,10.0,530857
$200.00,10.0,531151
$35.00,8.0,533193
$250.00,10.0,533627
$60.00,9.0,545585
$35.00,10.0,545685
$95.00,10.0,548232
$75.00,10.0,555596
$150.00,10.0,560440
$140.00,10.0,561148
$60.00,10.0,561602
$50.00,10.0,562311
$100.00,10.0,562593
$15.00,10.0,567239
$160.00,10.0,571042
$60.00,9.0,575551
$299.00,10.0,576018
$120.00,10.0,578097
$85.00,9.0,580106
$100.00,10.0,581216
$350.00,10.0,582335
$89.00,10.0,585225
$35.00,10.0,585326
$100.00,10.0,587375
$200.00,9.0,589767
$150.00,10.0,591524
$100.00,9.0,592883
$99.00,9.0,593165
$70.00,9.0,596042
$25.00,10.0,598271
$50.00,10.0,598579
$250.00,10.0,602036
$150.00,10.0,602535
$50.00,9.0,604843
$45.00,9.0,604999
$275.00,10.0,607500
$120.00,9.0,616204
$70.00,9.0,616517
$0.00,10.0,626349
$50.00,10.0,627358
$100.00,9.0,631635
$40.00,10.0,631658
$45.00,9.0,631735
$200.00,10.0,632303
$200.00,10.0,633629
$40.00,10.0,635850
$50.00,10.0,640352
$300.00,10.0,640895
$200.00,10.0,642672
