price,guests_included,review_scores_rating,id
$170.00,2,97.0,958
$99.00,2,95.0,3850
$235.00,2,98.0,5858
$65.00,1,86.0,7918
$65.00,1,93.0,8142
$585.00,1,97.0,8339
$139.00,2,98.0,8739
$135.00,1,94.0,9225
$199.00,1,96.0,10251
$120.00,2,99.0,10578
$177.00,6,89.0,10820
$194.00,1,91.0,10824
$139.00,1,92.0,10832
$85.00,1,80.0,12041
$85.00,1,64.0,12042
$79.00,1,98.0,12522
$160.00,2,95.0,12584
$215.00,2,98.0,14125
$450.00,4,96.0,17132
$107.00,2,96.0,18231
$110.00,1,97.0,18904
$125.00,1,98.0,21334
$65.00,1,78.0,21914
$98.00,1,98.0,23611
$155.00,2,98.0,23630
$159.00,2,98.0,24463
$79.00,1,96.0,24685
$195.00,4,96.0,24723
$150.00,1,99.0,25094
$110.00,1,98.0,25463
$125.00,2,95.0,25662
$450.00,4,91.0,26408
$125.00,2,100.0,27025
$199.00,2,96.0,27028
$220.00,5,97.0,29373
$155.00,2,99.0,29557
$150.00,2,96.0,32414
$240.00,1,99.0,33578
$107.00,2,95.0,39174
$94.00,2,98.0,39418
$108.00,2,92.0,40092
$67.00,1,96.0,40138
$159.00,3,94.0,41055
$127.00,2,98.0,41172
$290.00,1,96.0,41399
$136.00,1,89.0,41423
$85.00,2,93.0,42403
$85.00,2,87.0,42408
$104.00,1,91.0,42454
$150.00,4,80.0,42577
$110.00,2,56.0,43778
$95.00,1,97.0,44032
$175.00,2,100.0,44680
$116.00,1,94.0,45299
$78.00,2,97.0,47486
$120.00,2,96.0,47682
$9999.00,2,100.0,51374
$119.00,2,98.0,51557
$55.00,1,92.0,51773
$90.00,1,98.0,53280
$163.00,1,95.0,53934
$185.00,1,88.0,54518
$115.00,2,94.0,54634
$112.00,1,94.0,55632
$116.00,1,95.0,55636
$55.00,1,93.0,56621
$187.00,1,96.0,56715
$200.00,4,99.0,57479
$175.00,2,92.0,57561
$99.00,1,94.0,57676
$350.00,4,90.0,58185
$135.00,2,98.0,59344
$109.00,1,96.0,59381
$150.00,2,98.0,59702
$100.00,2,20.0,59831
$475.00,5,97.0,60365
$85.00,1,97.0,62519
$950.00,1,96.0,62651
$166.00,1,94.0,63247
$90.00,1,99.0,64165
$80.00,1,84.0,66119
$216.00,4,96.0,66188
$90.00,2,79.0,66664
$326.00,2,99.0,68239
$80.00,1,98.0,69410
$46.00,1,91.0,69549
$37.00,1,82.0,69553
$185.00,4,93.0,69681
$108.00,2,98.0,70139
$30.00,1,93.0,70284
$45.00,1,92.0,70753
$109.00,1,98.0,71645
$80.00,1,60.0,71779
$90.00,4,92.0,72365
$45.00,1,94.0,72444
$105.00,2,89.0,72921
$100.00,2,96.0,74451
$37.00,1,84.0,74758
$40.00,1,100.0,75422
$45.00,1,88.0,75423
$135.00,2,98.0,77175
$57.00,1,82.0,77932
$75.00,1,95.0,78651
$140.00,2,98.0,80394
$83.00,2,94.0,81158
$45.00,1,78.0,81256
$250.00,1,97.0,81535
$90.00,1,97.0,83257
