host_is_superhost,review_scores_rating,id
t,97.0,958
t,95.0,3850
f,98.0,5858
t,86.0,7918
t,93.0,8142
f,97.0,8339
t,98.0,8739
t,94.0,9225
t,96.0,10251
f,99.0,10578
f,89.0,10820
f,91.0,10824
f,92.0,10832
t,80.0,12041
t,64.0,12042
t,98.0,12522
t,95.0,12584
t,98.0,14125
f,96.0,17132
f,96.0,18231
t,97.0,18904
f,98.0,21334
t,78.0,21914
t,98.0,23611
t,98.0,23630
t,98.0,24463
t,96.0,24723
t,99.0,25094
t,98.0,25463
t,95.0,25662
f,91.0,26408
t,100.0,27025
t,96.0,27028
t,97.0,29373
t,99.0,29557
f,96.0,32414
t,99.0,33578
t,95.0,39174
f,98.0,39418
t,92.0,40092
f,96.0,40138
t,94.0,41055
t,98.0,41172
t,96.0,41399
t,89.0,41423
t,93.0,42403
t,87.0,42408
f,91.0,42454
t,80.0,42577
t,56.0,43778
t,97.0,44032
f,100.0,44680
t,94.0,45299
t,97.0,47486
t,96.0,47682
f,100.0,51374
t,98.0,51557
t,92.0,51773
t,98.0,53280
t,95.0,53934
t,88.0,54518
t,94.0,54634
t,94.0,55632
t,95.0,55636
t,93.0,56621
t,96.0,56715
f,99.0,57479
t,92.0,57561
f,94.0,57676
f,90.0,58185
t,98.0,59344
f,96.0,59381
t,98.0,59702
f,20.0,59831
f,97.0,60365
t,97.0,62519
f,96.0,62651
t,94.0,63247
t,99.0,64165
f,84.0,66119
t,96.0,66188
t,79.0,66664
t,99.0,68239
f,98.0,69410
f,91.0,69549
f,82.0,69553
t,93.0,69681
t,98.0,70139
f,93.0,70284
f,92.0,70753
t,98.0,71645
f,60.0,71779
f,92.0,72365
f,94.0,72444
f,89.0,72921
f,96.0,74451
f,84.0,74758
f,100.0,75422
f,88.0,75423
t,98.0,77175
f,82.0,77932
f,95.0,78651
t,98.0,80394
t,94.0,81158
f,78.0,81256
f,97.0,81535
t,97.0,83257
t,97.0,83553
t,95.0,84777
t,99.0,87640
f,95.0,91957
t,94.0,96383
f,96.0,99094
f,100.0,100710
f,97.0,102951
f,80.0,105497
f,99.0,106025
t,94.0,109883
f,94.0,110825
t,97.0,114401
t,98.0,115242
f,99.0,121065
f,97.0,126046
t,99.0,128230
t,87.0,130775
t,98.0,130805
t,96.0,132441
f,97.0,134015
f,94.0,134193
t,98.0,137546
f,96.0,137672
f,98.0,138592
f,93.0,138619
f,99.0,138772
t,97.0,140568
t,98.0,142177
t,94.0,144978
f,92.0,147443
f,99.0,148559
f,85.0,148627
f,89.0,148769
t,94.0,150347
t,99.0,150848
t,95.0,162934
t,97.0,164207
f,96.0,166199
t,97.0,166771
t,87.0,175090
t,94.0,175102
f,83.0,176274
f,97.0,177137
f,93.0,180233
t,97.0,183859
f,96.0,187730
t,98.0,189068
t,98.0,189894
t,97.0,191632
t,99.0,199480
f,100.0,201313
t,97.0,201579
f,100.0,206566
f,97.0,206634
f,80.0,206637
t,96.0,207980
t,96.0,208727
t,96.0,208831
f,93.0,209514
f,100.0,212265
f,91.0,212783
f,89.0,213532
t,96.0,213854
f,99.0,216042
f,97.0,216064
f,93.0,217106
f,89.0,220418
f,95.0,221342
t,98.0,224579
t,96.0,225933
f,93.0,229240
f,97.0,229319
f,88.0,231129
t,99.0,231752
f,98.0,232060
f,96.0,238190
t,95.0,238204
f,93.0,241235
t,97.0,242008
f,97.0,244361
t,90.0,245339
f,98.0,252867
t,98.0,256148
t,97.0,256176
f,88.0,258873
f,92.0,259621
f,94.0,259622
f,90.0,259919
t,80.0,261358
t,95.0,269371
t,95.0,269463
t,98.0,271602
f,91.0,271647
t,98.0,273530
f,95.0,274334
t,97.0,276072
t,97.0,277339
f,97.0,279184
f,94.0,280549
f,88.0,280673
t,95.0,284117
t,100.0,284766
f,100.0,285499
f,96.0,286311
t,98.0,287907
t,98.0,288213
f,82.0,292723
t,98.0,295240
f,96.0,295565
f,96.0,297897
t,97.0,307837
f,97.0,314248
t,99.0,314368
f,94.0,317121
f,97.0,323635
t,97.0,325478
f,94.0,326650
f,100.0,329020
f,94.0,330535
t,99.0,330736
t,98.0,334339
t,98.0,334886
f,100.0,338849
f,100.0,342420
f,98.0,344621
t,93.0,345760
f,93.0,348580
t,96.0,348714
t,99.0,350391
t,96.0,350479
t,97.0,351881
f,69.0,351950
f,83.0,351978
t,90.0,352165
t,100.0,353292
t,96.0,361230
t,97.0,364397
t,95.0,374997
f,90.0,377569
f,98.0,379255
f,93.0,379349
f,96.0,379418
t,97.0,381217
